ensembl,gene_exp,Affinity,Class,disease_score,disgenet_score,pathways,kinaseness
ENSP00000204726,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000204961,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000205061,0.0,0.0,0.0,0.0,0.0,['hsa04514'],1.0
ENSP00000205143,0.0,0.0,0.0,0.0,0.0,"['hsa04330', 'hsa04658']",1.0
ENSP00000205194,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000205214,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000205402,0.0,0.0,0.0,0.0,0.0,"['hsa00010', 'hsa00020', 'hsa00260', 'hsa00280', 'hsa00310', 'hsa00380', 'hsa00620', 'hsa00630', 'hsa00640']",1.0
ENSP00000205557,0.0,0.0,0.0,0.0,0.0,['hsa02010'],1.0
ENSP00000205636,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000205890,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000205948,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000206020,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000206423,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000206474,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000206513,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000206542,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000206595,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000206765,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000207157,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000207457,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000207549,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000207870,0.0,0.0,0.0,0.0,0.0,['hsa00040'],1.0
ENSP00000209540,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000209668,0.0,0.0,0.0,0.0,0.0,"['hsa00010', 'hsa00071', 'hsa00350', 'hsa00830', 'hsa00980', 'hsa00982']",1.0
ENSP00000209718,0.0,0.0,0.0,0.0,0.0,['hsa04915'],1.0
ENSP00000209728,0.0,0.0,0.0,0.0,0.0,['hsa04110'],1.0
ENSP00000209873,0.0,0.0,0.0,0.0,0.0,['hsa03013'],1.0
ENSP00000209875,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000209884,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000209929,0.0,0.0,0.0,0.0,0.0,['hsa00982'],1.0
ENSP00000210060,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000210187,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000210313,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000210444,0.0,0.0,0.0,0.0,0.0,['hsa00520'],1.0
ENSP00000210633,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000211076,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000211122,0.0,0.0,0.0,0.0,0.0,"['hsa00480', 'hsa00480', 'hsa00980', 'hsa00980', 'hsa00982', 'hsa00982', 'hsa00983', 'hsa00983']",1.0
ENSP00000211287,0.0,4.783051642,0.0,0.0,0.0,"['hsa04010', 'hsa04015', 'hsa04068', 'hsa04071', 'hsa04114', 'hsa04218', 'hsa04370', 'hsa04550', 'hsa04611', 'hsa04620', 'hsa04621', 'hsa04622', 'hsa04625', 'hsa04657', 'hsa04658', 'hsa04659', 'hsa04660', 'hsa04664', 'hsa04668', 'hsa04670', 'hsa04912', 'hsa04914', 'hsa04917', 'hsa04926']",2.0
ENSP00000211314,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000211413,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000211936,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000211998,0.0,0.0,0.0,2.695,0.02,"['hsa04510', 'hsa04520', 'hsa04670']",1.0
ENSP00000212015,0.0,0.0,0.0,0.0,0.0,"['hsa00760', 'hsa04068', 'hsa04152', 'hsa04218', 'hsa04922']",1.0
ENSP00000212355,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000214869,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000215057,-1.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000215061,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000215071,0.0,0.0,0.0,0.0,0.0,['hsa03050'],1.0
